code,name,market
1101,台泥,TWSE
1102,亞泥,TWSE
1103,嘉泥,TWSE
1104,環泥,TWSE
1108,幸福,TWSE
1109,信大,TWSE
1110,東泥,TWSE
1201,味全,TWSE
1203,味王,TWSE
1210,大成,TWSE
1213,大飲,TWSE
1215,卜蜂,TWSE
1216,統一,TWSE
1217,愛之味,TWSE
1218,泰山,TWSE
1219,福壽,TWSE
1220,台榮,TWSE
1225,福懋油,TWSE
1227,佳格,TWSE
1229,聯華,TWSE
1231,聯華食,TWSE
1232,大統益,TWSE
1233,天仁,TWSE
1234,黑松,TWSE
1235,興泰,TWSE
1236,宏亞,TWSE
1256,鮮活果汁-KY,TWSE
1301,台塑,TWSE
1303,南亞,TWSE
1304,台聚,TWSE
1305,華夏,TWSE
1307,三芳,TWSE
1308,亞聚,TWSE
1309,台達化,TWSE
1310,台苯,TWSE
1312,國喬,TWSE
1313,聯成,TWSE
1314,中石化,TWSE
1315,達新,TWSE
1316,上曜,TWSE
1319,東陽,TWSE
1321,大洋,TWSE
1323,永裕,TWSE
1324,地球,TWSE
1325,恆大,TWSE
1326,台化,TWSE
1337,再生-KY,TWSE
1338,廣華-KY,TWSE
1339,昭輝,TWSE
1340,勝悅-KY,TWSE
1341,富林-KY,TWSE
1342,八貫,TWSE
1402,遠東新,TWSE
1409,新纖,TWSE
1410,南染,TWSE
1413,宏洲,TWSE
1414,東和,TWSE
1416,廣豐,TWSE
1417,嘉裕,TWSE
1418,東華,TWSE
1419,新紡,TWSE
1423,利華,TWSE
1432,大魯閣,TWSE
1434,福懋,TWSE
1435,中福,TWSE
1436,華友聯,TWSE
1437,勤益控,TWSE
1438,三地開發,TWSE
1439,雋揚,TWSE
1440,南紡,TWSE
1441,大東,TWSE
1442,名軒,TWSE
1443,立益物流,TWSE
1444,力麗,TWSE
1445,大宇,TWSE
1446,宏和,TWSE
1447,力鵬,TWSE
1449,佳和,TWSE
1451,年興,TWSE
1452,宏益,TWSE
1453,大將,TWSE
1454,台富,TWSE
1455,集盛,TWSE
1456,怡華,TWSE
1457,宜進,TWSE
1459,聯發,TWSE
1460,宏遠,TWSE
1463,強盛新,TWSE
1464,得力,TWSE
1465,偉全,TWSE
1466,聚隆,TWSE
1467,南緯,TWSE
1468,昶和,TWSE
1470,大統新創,TWSE
1471,首利,TWSE
1472,三洋實業,TWSE
1473,台南,TWSE
1474,弘裕,TWSE
